Latitude,Longitude,CrimeCount
41.709492022,-87.566804536,9
41.709564659,-87.642757403,6
41.709668178,-87.535434305,7
41.70992755,-87.681875149,6
41.709948341,-87.537844347,6
41.709982123,-87.615054293,6
41.710279369,-87.618713388,9
41.710412584,-87.535139432,7
41.710978378,-87.623455836,9
41.711196928,-87.640377647,8
41.711228139,-87.623460413,9
41.711229448,-87.630818278,8
41.711326446,-87.676927679,6
41.7116579,-87.643101247,9
41.711685651,-87.635428043,7
41.711714647,-87.642954141,10
41.711743042,-87.644026946,6
41.711872073,-87.641751157,9
41.712359904,-87.62009309,12
41.712757292,-87.622220298,6
41.7128602,-87.592464611,6
41.71286177,-87.537694886,8
41.712883114,-87.562160425,9
41.712908555,-87.592302903,38
41.713248384,-87.626199765,6
41.713573741,-87.681695491,10
41.713753878,-87.642987258,27
41.713822464,-87.653571461,8
41.713872356,-87.62591823,6
41.713978556,-87.653514877,6
41.714117095,-87.64314819,17
41.714123567,-87.64285511,10
41.714401283,-87.56716741,31
41.714573953,-87.613831123,7
41.714597905,-87.567022232,9
41.714664493,-87.603816422,6
41.714764018,-87.5635444,13
41.71557103,-87.643055717,6
41.715597613,-87.642912587,9
41.715713748,-87.643057853,6
41.715722075,-87.535425359,12
41.715744489,-87.653276505,6
41.71604576,-87.534219982,8
41.716213094,-87.648081457,9
41.716389299,-87.680707408,10
41.716517432,-87.622731926,13
41.716530135,-87.602011561,10
41.71657601,-87.622885116,6
41.716634354,-87.552372642,7
41.716635712,-87.561100981,8
41.71692081,-87.552526674,7
41.71706598,-87.65538333,8
41.717228355,-87.569705114,7
41.717334211,-87.531658377,9
41.717717384,-87.531510765,8
41.717943656,-87.569147221,8
41.718398203,-87.620663665,43
41.718539207,-87.668927818,8
41.718578104,-87.661927654,7
41.718823567,-87.643141787,8
41.718967787,-87.536495065,6
41.71902307,-87.620528559,17
41.719349279,-87.616499406,6
41.719518422,-87.628761013,11
41.719536982,-87.563633956,6
41.719625351,-87.553944454,6
41.719732978,-87.643315203,7
41.719993302,-87.537559302,7
41.720137838,-87.663973669,6
41.720156143,-87.628482988,10
41.720384131,-87.538913442,6
41.720480471,-87.682050624,10
41.720480471,-87.615161389,28
41.720694633,-87.643048506,7
41.720783347,-87.643197739,13
41.720969202,-87.680159235,6
41.721005667,-87.643202686,7
41.721080384,-87.664187332,22
41.721089225,-87.671399731,10
41.721111832,-87.677736531,25
41.721148661,-87.658966813,7
41.721155847,-87.659256117,7
41.721180629,-87.623717187,14
41.721193031,-87.655779515,12
41.7211947,-87.664024973,108
41.721214194,-87.653786605,8
41.721224132,-87.662013664,6
41.721303358,-87.655873595,42
41.721311472,-87.663342437,7
41.721317032,-87.645701206,21
41.721325872,-87.620580034,6
41.721326098,-87.653682861,10
41.721347217,-87.65215149,14
41.721355298,-87.660041585,11
41.721363373,-87.643360032,13
41.721394792,-87.648612493,22
41.721439376,-87.614131833,14
41.72150447,-87.648596676,19
41.721512719,-87.624610978,7
41.721531576,-87.631259196,8
41.721568547,-87.623874093,32
41.721580486,-87.627595617,6
41.721623049,-87.624701342,31
41.721627204,-87.624485177,45
41.721633492,-87.630422911,6
41.721651478,-87.621752274,10
41.72165754,-87.628972081,7
41.72168633,-87.620733561,7
41.721689256,-87.626539467,9
41.72169846,-87.625359863,6
41.721699301,-87.633561431,12
41.721734105,-87.631169078,16
41.721734768,-87.624571908,185
41.721754768,-87.629612054,8
41.721768567,-87.628729107,9
41.721786539,-87.575490054,7
41.721797121,-87.614289018,14
41.721803519,-87.613995902,6
41.721811214,-87.623618672,13
41.721840482,-87.617277592,12
41.721843447,-87.623061532,15
41.721866607,-87.682095236,10
41.721895856,-87.613841024,11
41.721918366,-87.585137009,8
41.721938553,-87.578990155,7
41.721945241,-87.643372123,11
41.721969643,-87.603349176,8
41.722003993,-87.600553867,7
41.722013357,-87.575344529,9
41.722064268,-87.64308513,8
41.722108211,-87.600973936,8
41.722160157,-87.657835334,6
41.722172292,-87.625208139,13
41.722256821,-87.585275943,13
41.722258934,-87.583074406,7
41.722260673,-87.582920537,30
41.722296526,-87.580011632,6
41.722352508,-87.584377376,11
41.722362598,-87.58382047,43
41.722373898,-87.575501468,8
