Block,CrimeCount
022XX N LA CROSSE AV,8
022XX N LA CROSSE AVE,6
022XX N LACROSSE AV,8
022XX N LAKE SHORE DR,1
022XX N LAKEWOOD AV,4
022XX N LAKEWOOD AVE,3
022XX N LAMON AV,9
022XX N LAMON AVE,8
022XX N LAPORTE AV,11
022XX N LAPORTE AVE,10
022XX N LARAMIE AV,7
022XX N LARAMIE AVE,6
022XX N LATROBE AV,8
022XX N LATROBE AVE,4
022XX N LAVERGNE AV,8
022XX N LAVERGNE AVE,8
022XX N LAWLER AV,11
022XX N LAWLER AVE,7
022XX N LAWNDALE AV,8
022XX N LAWNDALE AVE,3
022XX N LEAMINGTON AV,14
022XX N LEAMINGTON AVE,7
022XX N LEAVITT ST,13
022XX N LECLAIRE AV,5
022XX N LECLAIRE AVE,7
022XX N LINCOLN AV,48
022XX N LINCOLN AVE,32
022XX N LINCOLN PARK WEST,9
022XX N LISTER AV,4
022XX N LISTER AVE,5
022XX N LOCKWOOD AV,11
022XX N LOCKWOOD AVE,7
022XX N LONG AV,12
022XX N LONG AVE,2
022XX N LOREL AV,16
022XX N LOREL AVE,11
022XX N LOWELL AV,11
022XX N LOWELL AVE,8
022XX N MAGNOLIA AV,4
022XX N MAGNOLIA AVE,2
022XX N MAJOR AV,29
022XX N MAJOR AVE,8
022XX N MANGO AV,6
022XX N MANGO AVE,8
022XX N MAPLEWOOD AV,7
022XX N MAPLEWOOD AVE,3
022XX N MARMORA AV,9
022XX N MARMORA AVE,20
022XX N MASON AV,4
022XX N MASON AVE,3
022XX N MC VICKER AV,15
022XX N MC VICKER AVE,8
022XX N MCVICKER AV,3
022XX N MEADE AV,5
022XX N MEADE AVE,10
022XX N MELVINA AV,5
022XX N MELVINA AVE,3
022XX N MENARD AV,14
022XX N MENARD AVE,12
022XX N MERRIMAC AV,2
022XX N MERRIMAC AVE,1
022XX N MILWAUKEE AV,52
022XX N MILWAUKEE AVE,67
022XX N MOBILE AV,2
022XX N MOBILE AVE,4
022XX N MONITOR AV,11
022XX N MONITOR AVE,7
022XX N MONTICELLO AV,11
022XX N MONTICELLO AVE,5
022XX N MOODY AV,6
022XX N MOODY AVE,2
022XX N MULLIGAN AV,4
022XX N MULLIGAN AVE,3
022XX N NAGLE AV,7
022XX N NAGLE AVE,8
022XX N NARRAGANSETT AV,12
022XX N NARRAGANSETT AVE,5
022XX N NATCHEZ AV,9
022XX N NATCHEZ AVE,11
022XX N NEVA AVE,1
022XX N NEWLAND AV,1
022XX N NORDICA AV,2
022XX N NORDICA AVE,2
022XX N OAK PARK AV,1
022XX N OAK PARK AVE,4
022XX N OAKLEY AV,18
022XX N OAKLEY AVE,6
022XX N ORCHARD ST,17
022XX N PARKSIDE AV,13
022XX N PARKSIDE AVE,8
022XX N PULASKI RD,2
022XX N RACINE AV,4
022XX N RACINE AVE,6
022XX N ROCKWELL ST,26
022XX N Racine Ave,1
022XX N SACRAMENTO AV,9
022XX N SACRAMENTO AVE,1
022XX N SAWYER AV,7
022XX N SAWYER AVE,6
022XX N SAYRE AV,1
022XX N SAYRE AVE,4
022XX N SEDGWICK ST,2
022XX N SEELEY AV,11
022XX N SEELEY AVE,7
022XX N SEMINARY AV,7
022XX N SEMINARY AVE,4
022XX N SHEFFIELD AV,10
022XX N SHEFFIELD AVE,8
022XX N SOUTHPORT AV,8
022XX N SOUTHPORT AVE,4
022XX N SPAULDING AV,4
022XX N SPAULDING AVE,3
022XX N SPRINGFIELD AV,12
022XX N SPRINGFIELD AVE,16
022XX N ST LOUIS AV,9
022XX N ST LOUIS AVE,3
022XX N STAVE ST,1
022XX N STOCKTON DR,16
022XX N Seminary Ave,1
022XX N TALMAN AV,16
022XX N TALMAN AVE,4
022XX N TRIPP AV,18
022XX N TRIPP AVE,8
022XX N WASHTENAW AV,5
022XX N WASHTENAW AVE,1
022XX N WAYNE AV,5
022XX N WAYNE AVE,2
022XX N WESTERN AV,21
022XX N WESTERN AVE,3
022XX N Western Ave,1
022XX S ALBANY AV,20
022XX S ALBANY AVE,13
022XX S ARCHER AV,19
022XX S ARCHER AVE,7
022XX S ASHLAND AV,6
022XX S ASHLAND AVE,2
022XX S AVERS AV,7
022XX S AVERS AVE,3
022XX S BELL AV,11
022XX S BELL AVE,6
022XX S BLUE ISLAND AV,20
022XX S BLUE ISLAND AVE,8
022XX S CALIFORNIA AV,33
022XX S CALIFORNIA AVE,12
022XX S CALUMET AV,1
022XX S CANAL ST,2
022XX S CENTRAL PARK  AVE,1
022XX S CENTRAL PARK AV,19
022XX S CENTRAL PARK AVE,7
022XX S CHICAGO RIVER,1
022XX S CHRISTIANA AV,13
022XX S CHRISTIANA AVE,6
022XX S CLARK ST,2
022XX S COTTAGE GROVE,4
022XX S COTTAGE GROVE AV,1
022XX S DAMEN AV,24
022XX S DAMEN AVE,3
022XX S DEARBORN ST,3
022XX S DR MARTIN LUTHER KING JR DR,12
022XX S DR MARTN LUTHR KING JR DR,3
022XX S DRAKE AV,20
022XX S DRAKE AVE,13
022XX S DRAKE AVENUE,1
022XX S FEDERAL ST,8
022XX S GROVE ST,1
022XX S HALSTED ST,52
022XX S HAMLIN AV,21
022XX S HAMLIN AVE,6
022XX S HOMAN AV,16
022XX S HOMAN AVE,4
022XX S HOYNE AV,10
022XX S HOYNE AVE,3
022XX S INDIANA AV,6
022XX S INDIANA AVE,12
022XX S Indiana Ave,1
022XX S KEDVALE AV,13
022XX S KEDVALE AVE,8
022XX S KEDZIE AV,19
022XX S KEDZIE AVE,16
022XX S KEELER AV,14
022XX S KEELER AVE,17
022XX S KENNETH AV,10
022XX S KENNETH AVE,2
022XX S KILDARE AV,13
022XX S KILDARE AVE,28
022XX S KING DR,8
022XX S KIRKLAND AV,10
022XX S KIRKLAND AVE,17
022XX S KOLIN AV,24
022XX S KOLIN AVE,12
022XX S KOSTNER AV,16
022XX S KOSTNER AVE,8
022XX S LAFLIN ST,3
022XX S LAKE SHORE DR,2
022XX S LAKE SHORE DR NB,2
022XX S LAWNDALE AV,18
022XX S LAWNDALE AVE,4
022XX S LEAVITT ST,11
022XX S LOOMIS ST,14
022XX S LUMBER ST,14
022XX S MARSHALL BL,15
022XX S MARSHALL BLVD,11
022XX S MARSHALL BV,9
022XX S MICHIGAN AV,34
022XX S MICHIGAN AVE,51
022XX S MILLARD AV,22
022XX S MILLARD AVE,9
022XX S MORGAN ST,2
022XX S Michigan Ave,1
022XX S OAKLEY AV,14
022XX S OAKLEY AVE,6
022XX S PAULINA ST,5
022XX S PRAIRIE AV,7
022XX S PRINCETON AV,13
022XX S PRINCETON AVE,10
022XX S PULASKI RD,33
022XX S RACINE AV,1
022XX S RIDGEWAY AV,8
022XX S RIDGEWAY AVE,7
022XX S ROCKWELL ST,8
022XX S SACRAMENTO AV,13
022XX S SACRAMENTO AVE,24
022XX S SAWYER AV,23
022XX S SAWYER AVE,18
022XX S SPAULDING AV,15
022XX S SPAULDING AVE,6
022XX S SPRINGFIELD AV,21
022XX S SPRINGFIELD AVE,14
022XX S ST LOUIS AV,7
022XX S ST LOUIS AVE,6
022XX S STATE ST,341
022XX S STATE STREET,1
022XX S TROY ST,6
022XX S TRUMBULL AV,5
022XX S TRUMBULL AVE,7
022XX S UNION AV,4
022XX S WABASH AV,5
022XX S WABASH AVE,9
022XX S WASHTENAW AV,6
022XX S WASHTENAW AVE,2
022XX S WENTWORTH AV,28
022XX S WENTWORTH AVE,23
022XX S WESTERN AV,76
022XX S WESTERN AVE,18
022XX S WHIPPLE ST,39
022XX S WOLCOTT AV,6
022XX S WOLCOTT AVE,2
022XX S WOOD ST,12
022XX S Whipple St,1
022XX W 103 ST,1
022XX W 107 ST,1
022XX W 107TH ST,1
022XX W 108 PL,3
022XX W 108TH PL,1
022XX W 110 PL,4
022XX W 110 ST,3
022XX W 111 ST,14
022XX W 111TH PL,1
022XX W 111TH ST,5
022XX W 113 PL,3
022XX W 113TH PL,1
022XX W 113TH ST,2
022XX W 115 ST,1
022XX W 115TH ST,1
022XX W 116TH PL,1
022XX W 13 ST,2
022XX W 13TH ST,2
022XX W 18 PL,7
022XX W 18 ST,8
022XX W 18TH PL,10
022XX W 18TH ST,5
022XX W 19 ST,16
022XX W 19TH ST,11
022XX W 21 PL,13
022XX W 21 ST,38
022XX W 21ST PL,12
022XX W 21ST ST,18
022XX W 23 PL,11
022XX W 23 ST,13
022XX W 23 STREET,1
022XX W 23RD PL,13
022XX W 23RD ST,3
022XX W 24 ST,7
022XX W 24TH ST,9
022XX W 28TH ST,1
022XX W 33 ST,1
022XX W 33RD ST,1
022XX W 34 ST,1
022XX W 35 ST,9
022XX W 35TH ST,4
022XX W 37 ST,15
022XX W 43 ST,2
022XX W 47 PL,5
022XX W 47 ST,6
022XX W 47TH PL,2
022XX W 47TH ST,3
022XX W 50 PL,11
022XX W 50 ST,11
022XX W 50TH PL,2
022XX W 50TH ST,3
022XX W 51 ST,13
022XX W 51ST ST,5
022XX W 52ND ST,1
022XX W 54 PL,10
022XX W 54TH PL,17
022XX W 56 ST,1
022XX W 56TH ST,1
022XX W 57 ST,2
022XX W 57TH ST,1
022XX W 59 ST,2
022XX W 59TH ST,3
022XX W 62 ST,3
022XX W 63 ST,4
022XX W 63RD ST,2
022XX W 64 ST,1
022XX W 64TH ST,1
022XX W 65 ST,1
022XX W 66 ST,1
022XX W 68TH ST,1
022XX W 69 ST,4
022XX W 69TH ST,4
022XX W 71 ST,10
022XX W 71ST ST,9
022XX W 72 ST,11
022XX W 72ND ST,1
022XX W 73 ST,1
022XX W 74 ST,2
022XX W 74TH ST,1
022XX W 79 PL,1
022XX W 79TH PL,2
022XX W 80 PL,6
022XX W 80 ST,4
022XX W 80TH PL,1
022XX W 80TH ST,4
022XX W 81 PL,2
022XX W 81 ST,2
022XX W 81ST PL,3
022XX W 81ST ST,5
022XX W 83 ST,2
022XX W 95 ST,30
022XX W 95TH ST,4
022XX W ADAMS ST,19
022XX W ADDISON ST,11
022XX W AINSLIE ST,9
022XX W ARGYLE ST,10
022XX W ARMITAGE AV,9
022XX W ARMITAGE AVE,4
022XX W ARTHUR AV,7
022XX W ARTHUR AVE,4
022XX W AUGUSTA BL,5
022XX W AUGUSTA BLVD,3
022XX W Ainslie St,1
022XX W Arthur Ave,1
022XX W BARRY AV,5
022XX W BARRY AVE,3
022XX W BELDEN AV,7
022XX W BELDEN AVE,11
022XX W BELLE PLAINE AV,1
022XX W BELMONT AV,15
022XX W BELMONT AVE,2
022XX W BERTEAU AV,5
022XX W BERTEAU AVE,2
022XX W BERWYN AV,3
022XX W BLOOMINGDALE AVE,1
022XX W BROSS AV,1
022XX W BYRON ST,5
022XX W CAMPBELL PK,3
022XX W CARMEN AV,3
022XX W CARMEN AVE,2
022XX W CERMAK RD,40
022XX W CHARLESTON ST,10
022XX W CHASE AV,1
022XX W CHICAGO AV,10
022XX W CHICAGO AVE,7
022XX W CONGRESS PKWY,3
022XX W CONGRESS PW,2
022XX W CORNELIA AV,6
022XX W CORNELIA AVE,1
022XX W CORTEZ ST,7
022XX W CORTLAND ST,2
022XX W COULTER ST,13
022XX W CULLERTON ST,22
022XX W CULLOM AV,6
022XX W CULLOM AVE,1
022XX W Cornelia Ave,1
022XX W Cortez st,1
022XX W DEVON AV,35
022XX W DEVON AVE,13
022XX W DICKENS AV,6
022XX W DICKENS AVE,4
022XX W DIVERSEY AV,23
022XX W DIVERSEY AVE,3
022XX W DIVERSEY PKWY,5
022XX W DIVERSEY PW,1
022XX W DIVISION ST,85
022XX W EASTWOOD AV,4
022XX W EASTWOOD AVE,8
022XX W ERIE ST,19
022XX W ESTES AV,1
022XX W ESTES AVE,3
022XX W Estes Ave,1
022XX W FARRAGUT AV,2
022XX W FARRAGUT AVE,3
022XX W FARWELL AV,9
022XX W FARWELL AVE,14
022XX W FLETCHER ST,3
022XX W FOSTER AV,6
022XX W FOSTER AVE,3
022XX W FULLERTON AV,11
022XX W FULTON ST,2
022XX W Farwell Ave,1
022XX W GARFIELD BL,3
022XX W GARFIELD BLVD,3
022XX W GIDDINGS ST,9
022XX W GRACE ST,2
022XX W GRAND AV,19
022XX W GRAND AVE,8
022XX W GRANVILLE AV,1
022XX W GRANVILLE AVE,10
022XX W GREENLEAF AV,2
022XX W GREENLEAF AVE,1
022XX W HARRISON ST,10
022XX W HIGHLAND AV,5
022XX W HIGHLAND AVE,5
022XX W HIRSCH ST,12
022XX W HOMER ST,8
022XX W HOWARD ST,27
022XX W HUBBARD ST,12
022XX W HURON ST,16
022XX W IOWA ST,12
022XX W IRVING PARK RD,9
022XX W JACKSON BL,9
022XX W JACKSON BLVD,20
022XX W JACKSON BV,45
022XX W LAKE ST,7
022XX W LAWRENCE AV,10
022XX W LAWRENCE AVE,4
022XX W LE MOYNE ST,3
022XX W LELAND AV,3
022XX W LELAND AVE,7
022XX W LOGAN BL,3
022XX W LOGAN BLVD,2
022XX W LUNT AV,5
022XX W LUNT AVE,5
022XX W LYNDALE ST,11
022XX W Lunt Ave,1
022XX W MADISON ST,28
022XX W MARQUETTE RD,11
022XX W MAYPOLE AVE,26
022XX W MC LEAN AV,8
022XX W MC LEAN AVE,6
022XX W MCLEAN AV,17
022XX W MEDILL AV,10
022XX W MEDILL AVE,3
022XX W MELROSE ST,3
022XX W MONROE ST,57
022XX W MONTROSE AV,9
022XX W MONTROSE AVE,1
022XX W MORSE AV,6
022XX W MORSE AVE,6
022XX W NORTH AV,15
022XX W NORTH AVE,5
022XX W OAKDALE AV,2
022XX W OAKDALE AVE,1
022XX W OGDEN AV,8
022XX W OGDEN AVE,3
022XX W OHIO ST,19
022XX W PALMER ST,6
022XX W PERSHING RD,26
022XX W POLK ST,15
022XX W POTOMAC AV,4
022XX W POTOMAC AVE,3
022XX W PRATT AV,1
022XX W PRATT BL,2
022XX W PRATT BLVD,2
022XX W RACE AV,15
022XX W RACE AVE,6
022XX W RANDOLPH ST,2
022XX W RICE ST,9
022XX W ROOSEVELT RD,1
022XX W ROSCOE ST,11
022XX W ROSEMONT AV,7
022XX W ROSEMONT AVE,5
022XX W SCHOOL ST,4
022XX W SHAKESPEARE AV,8
022XX W ST PAUL AV,5
022XX W SUNNYSIDE AV,5
022XX W SUNNYSIDE AVE,2
022XX W SUPERIOR ST,9
022XX W TAYLOR ST,38
022XX W THOMAS ST,11
022XX W THOME AV,6
022XX W THOME AVE,4
022XX W TOUHY AV,11
022XX W TOUHY AVE,4
022XX W VAN BUREN ST,1
022XX W WABANSIA AV,17
022XX W WABANSIA AVE,4
022XX W WALNUT ST,12
022XX W WALTON ST,11
022XX W WARREN BL,12
022XX W WARREN BLVD,20
022XX W WARREN BV,24
022XX W WASHBURNE AV,58
022XX W WASHINGTON BL,5
022XX W WASHINGTON BLVD,24
022XX W WASHINGTON BV,26
022XX W WAVELAND AV,2
022XX W WAVELAND AVE,1
022XX W WELLINGTON AV,9
022XX W WELLINGTON AVE,1
022XX W WILSON AV,8
022XX W WILSON AVE,3
022XX W WINNEMAC AV,6
022XX W WINNEMAC AVE,8
022XX W WINONA ST,2
022XX W Wabansia Ave,1
022XX W warren blvd,1
023XX E 100 ST,5
023XX E 100TH ST,5
023XX E 102ND ST,2
023XX E 103 ST,5
023XX E 103RD ST,3
023XX E 104 ST,1
023XX E 105 ST,1
023XX E 107 ST,1
023XX E 67 ST,16
023XX E 67TH ST,8
023XX E 68 ST,16
023XX E 68TH ST,4
023XX E 69 ST,17
023XX E 69TH ST,6
023XX E 70 PL,19
023XX E 70 ST,43
023XX E 70TH PL,13
023XX E 70TH ST,56
023XX E 71 ST,12
023XX E 71ST ST,23
023XX E 72 ST,4
023XX E 72ND ST,2
023XX E 73 ST,10
023XX E 73RD ST,3
023XX E 74 ST,2
023XX E 74TH ST,1
023XX E 75 ST,29
023XX E 75TH ST,14
023XX E 76 ST,1
023XX E 77 ST,2
023XX E 77TH ST,1
023XX E 78 ST,3
023XX E 78TH ST,4
023XX E 79 ST,24
023XX E 79TH ST,42
023XX E 80 ST,2
023XX E 80TH ST,3
023XX E 81ST ST,3
023XX E 83 ST,15
023XX E 83RD ST,4
023XX E 85TH ST,1
023XX E 88 ST,1
023XX E 91ST ST,1
023XX E 92 ST,4
023XX E 92ND PL,1
023XX E 92ND ST,3
023XX E 93 ST,38
023XX E 93RD ST,40
023XX E 94 ST,1
023XX E 95 ST,8
023XX E 95TH ST,7
023XX E 96 ST,6
023XX E 97 ST,1
023XX E 97TH ST,5
023XX E 98 ST,3
023XX E 98TH ST,2
023XX E 99TH ST,2
023XX N ALBANY AV,4
023XX N ASHLAND AV,23
023XX N ASHLAND AVE,3
023XX N AUSTIN AV,13
023XX N AUSTIN AVE,3
023XX N AVERS AV,19
023XX N AVERS AVE,5
023XX N BOSWORTH AV,3
023XX N BOSWORTH AVE,8
023XX N CALIFORNIA AV,29
023XX N CALIFORNIA AVE,9
023XX N CAMBRIDGE AV,4
023XX N CAMBRIDGE AVE,1
023XX N CAMPBELL AV,4
023XX N CAMPBELL AVE,4
023XX N CANNON DR,4
023XX N CENTRAL AV,6
023XX N CENTRAL AVE,5
023XX N CENTRAL PARK AV,10
023XX N CENTRAL PARK AVE,2
023XX N CHILDRENS PZ,6
023XX N CICERO AV,32
023XX N CICERO AVE,14
023XX N CLARK ST,99
023XX N CLEVELAND AV,7
023XX N CLEVELAND AVE,3
023XX N CLIFTON AV,18
023XX N CLIFTON AVE,5
023XX N CLYBOURN AV,12
023XX N CLYBOURN AVE,8
023XX N COMMONWEALTH AV,18
023XX N COMMONWEALTH AVE,8
023XX N DAMEN AV,13
023XX N DAMEN AVE,14
023XX N DRAKE AV,23
023XX N DRAKE AVE,6
023XX N ELSTON AV,8
023XX N ELSTON CT,1
023XX N FREMONT ST,1
023XX N GENEVA TER,12
023XX N GENEVA TR,8
023XX N GREENVIEW AV,10
023XX N GREENVIEW AVE,9
023XX N HALSTED ST,6
023XX N HAMILTON AV,8
023XX N HAMILTON AVE,2
023XX N HAMLIN AV,12
023XX N HAMLIN AVE,4
023XX N HARDING AV,13
023XX N HARDING AVE,5
023XX N HARLEM AV,7
023XX N HARLEM AVE,12
023XX N HOYNE AV,3
023XX N Harlem Ave,1
023XX N JANSSEN AV,9
023XX N JANSSEN AVE,2
023XX N KARLOV AV,4
023XX N KARLOV AVE,3
023XX N KEATING AV,4
023XX N KEATING AVE,1
023XX N KEDVALE AV,10
023XX N KEDVALE AVE,5
023XX N KEDZIE AV,3
023XX N KEDZIE BL,11
023XX N KEDZIE BLVD,6
023XX N KEDZIE SD,1
023XX N KEELER AV,12
023XX N KEELER AVE,9
023XX N KENMORE AV,43
023XX N KENMORE AVE,7
023XX N KENNETH AV,14
023XX N KENNETH AVE,10
023XX N KEYSTONE AV,13
023XX N KEYSTONE AVE,5
023XX N KILBOURN AV,6
023XX N KILBOURN AVE,2
023XX N KILDARE AV,15
023XX N KILDARE AVE,1
023XX N KILPATRICK AV,3
023XX N KILPATRICK AVE,3
023XX N KIMBALL AV,12
023XX N KIMBALL AVE,5
023XX N KNOX AV,2
023XX N KNOX AVE,5
023XX N KOSTNER AV,9
023XX N KOSTNER AVE,10
023XX N LAKE SHORE DR,1
023XX N LAKE SHORE DR SB,1
023XX N LAKEWOOD AV,1
023XX N LAKEWOOD AVE,1
023XX N LAMON AV,7
023XX N LAMON AVE,9
023XX N LARAMIE AV,11
023XX N LARAMIE AVE,5
023XX N LATROBE AV,16
023XX N LATROBE AVE,1
023XX N LAVERGNE AV,7
023XX N LAVERGNE AVE,4
023XX N LAWNDALE AV,9
023XX N LAWNDALE AVE,8
023XX N LEAVITT ST,27
023XX N LECLAIRE AV,3
023XX N LECLAIRE AVE,2
023XX N LINCOLN AV,19
023XX N LINCOLN AVE,31
023XX N LINCOLN PARK WEST,23
023XX N LINCOLN PK WEST,1
023XX N LISTER AV,11
023XX N LISTER AVE,2
023XX N LOCKWOOD AV,7
023XX N LOCKWOOD AVE,4
023XX N LONG AV,9
023XX N LONG AVE,4
023XX N LOREL AV,15
023XX N LOREL AVE,6
023XX N LOWELL AV,4
023XX N Leavitt St,1
023XX N Lincoln Ave,4
023XX N Lister Ave,1
023XX N MAJOR AV,4
023XX N MAJOR AVE,1
023XX N MANGO AV,1
023XX N MANGO AVE,5
023XX N MAPLEWOOD AV,6
023XX N MAPLEWOOD AVE,6
023XX N MARMORA AV,6
023XX N MARMORA AVE,1
023XX N MASON AV,1
023XX N MASON AVE,1
023XX N MC VICKER AVE,5
023XX N MCVICKER AV,9
023XX N MEADE AV,7
023XX N MEADE AVE,2
023XX N MELVINA AV,7
023XX N MELVINA AVE,2
023XX N MENARD AV,13
023XX N MENARD AVE,6
023XX N MERRIMAC AV,13
023XX N MERRIMAC AVE,2
023XX N MILWAUKEE AV,58
023XX N MILWAUKEE AVE,53
023XX N MOBILE AV,1
023XX N MOBILE AVE,4
023XX N MONITOR AV,3
023XX N MONITOR AVE,5
023XX N MONTICELLO AV,13
023XX N MONTICELLO AVE,1
023XX N MOODY AV,18
023XX N MOODY AVE,9
023XX N MULLIGAN AV,1
023XX N MULLIGAN AVE,4
023XX N Maplewood Ave,1
023XX N NAGLE AV,5
023XX N NAGLE AVE,1
023XX N NARRAGANSETT AV,8
023XX N NARRAGANSETT AVE,1
023XX N NATCHEZ AV,1
023XX N NATCHEZ AVE,3
023XX N NEVA AV,12
023XX N NEVA AVE,13
023XX N NEWCASTLE AV,7
023XX N NEWCASTLE AVE,5
023XX N NEWLAND AV,8
023XX N NEWLAND AVE,4
023XX N NORDICA AV,2
023XX N NORDICA AVE,2
023XX N NORMANDY AV,6
023XX N NORMANDY AVE,1
023XX N OAK PARK AV,5
023XX N OAK PARK AVE,2
023XX N OAKLEY AV,13
023XX N OAKLEY AVE,5
023XX N ORCHARD ST,10
023XX N PARKSIDE AV,9
023XX N PARKSIDE AVE,4
023XX N PULASKI RD,12
023XX N RACINE AV,1
023XX N RACINE AVE,3
023XX N RIDGEWAY AV,4
023XX N RIDGEWAY AVE,1
023XX N ROCKWELL ST,19
023XX N RUTHERFORD AV,1
023XX N RUTHERFORD AVE,2
023XX N SACRAMENTO AV,13
023XX N SACRAMENTO AVE,8
023XX N SAWYER AV,14
023XX N SAWYER AVE,2
023XX N SAYRE AV,15
023XX N SAYRE AVE,3
023XX N SEELEY AV,2
023XX N SEELEY AVE,4
023XX N SEMINARY AV,1
023XX N SEMINARY AVE,1
023XX N SHEFFIELD AV,12
023XX N SHEFFIELD AVE,1
023XX N SOUTHPORT AV,11
023XX N SOUTHPORT AVE,5
023XX N SPAULDING AV,19
023XX N SPAULDING AVE,6
023XX N SPRINGFIELD AV,15
023XX N SPRINGFIELD AVE,14
023XX N ST LOUIS AV,5
023XX N ST LOUIS AVE,9
023XX N STOCKTON DR,15
023XX N Sawyer Ave,1
023XX N TALMAN AV,4
023XX N TALMAN AVE,2
023XX N TRIPP AV,8
023XX N TRIPP AVE,4
023XX N WASHTENAW AV,9
023XX N WAYNE AV,8
023XX N WAYNE AVE,2
023XX N WESTERN AV,21
023XX N WESTERN AVE,8
023XX N WINCHESTER AV,1
023XX N WINCHESTER AVE,1
023XX N WOLCOTT AVE,3
023XX S ALBANY AV,22
023XX S ALBANY AVE,20
023XX S ARCHER AV,11
023XX S ARCHER AVE,2
023XX S ASHLAND AV,6
023XX S ASHLAND AVE,4
023XX S AVERS AV,9
023XX S AVERS AVE,5
023XX S BLUE ISLAND AV,8
023XX S BLUE ISLAND AVE,15
023XX S CALIFORNIA AV,13
023XX S CALIFORNIA AVE,17
023XX S CANAL ST,14
023XX S CENTRAL PARK AV,12
023XX S CENTRAL PARK AVE,9
023XX S CHRISTIANA AV,93
023XX S CHRISTIANA AVE,24
023XX S COTTAGE GROVE,2
023XX S COTTAGE GROVE AV,4
023XX S DAMEN AV,8
023XX S DAMEN AVE,4
023XX S DEARBORN ST,7
023XX S DR MARTIN LUTHER KING JR DR,29
023XX S DR MARTN LUTHR KING JR DR,23
023XX S DRAKE AV,16
023XX S DRAKE AVE,11
023XX S Dr Martin Luther King Jr Dr,1
023XX S FEDERAL ST,9
023XX S HALSTED ST,18
023XX S HAMLIN AV,21
023XX S HAMLIN AVE,4
023XX S HOMAN AV,12
023XX S HOMAN AVE,15
023XX S HOYNE AV,18
023XX S HOYNE AVE,2
023XX S Hoyne Ave,1
023XX S INDIANA AV,11
023XX S INDIANA AVE,3
023XX S KARLOV AV,1
023XX S KEDVALE AV,1
023XX S KEDZIE AV,43
023XX S KEDZIE AVE,15
023XX S KEELER AV,1
023XX S KENNETH AV,7
023XX S KENNETH AVE,2
023XX S KILDARE AV,2
023XX S KILDARE AVE,1
023XX S KING DR,23
023XX S KIRKLAND AV,12
023XX S KIRKLAND AVE,6
023XX S KOLIN AV,4
023XX S KOLIN AVE,8
023XX S KOSTNER AV,26
023XX S KOSTNER AVE,9
023XX S LAFLIN ST,3
023XX S LAKE SHORE DR,109
023XX S LAKE SHORE DR E,5
023XX S LAKE SHORE DR NB,1
023XX S LAKE SHORE DR SB,3
023XX S LAWNDALE AV,18
023XX S LAWNDALE AVE,16
023XX S LEAVITT ST,21
023XX S LOOMIS ST,1
023XX S LUMBER ST,2
023XX S MARSHALL BL,12
023XX S MARSHALL BLVD,5
023XX S MARSHALL BV,6
023XX S MICHIGAN AV,52
023XX S MICHIGAN AVE,22
023XX S MILLARD AV,10
023XX S MILLARD AVE,13
023XX S Millard Ave,1
023XX S NORMAL AVE,1
023XX S OAKLEY AV,29
023XX S OAKLEY AVE,6
023XX S PRAIRIE AV,11
023XX S PRAIRIE AVE,1
023XX S PRINCETON AV,4
023XX S PRINCETON AVE,2
023XX S PULASKI RD,12
023XX S RIDGEWAY AV,18
023XX S RIDGEWAY AVE,12
023XX S ROCKWELL ST,12
023XX S SACRAMENTO AV,40
023XX S SACRAMENTO AVE,15
023XX S SAWYER AV,6
023XX S SAWYER AVE,16
023XX S SEELEY AV,7
023XX S SEELEY AVE,1
023XX S SPAULDING AV,2
023XX S SPRINGFIELD AV,4
023XX S SPRINGFIELD AVE,2
023XX S ST LOUIS AV,17
023XX S ST LOUIS AVE,13
023XX S STATE ST,296
023XX S STATE STREET,1
023XX S STEWART AV,4
023XX S STEWART AVE,2
023XX S THROOP ST,6
023XX S TROY ST,32
023XX S TRUMBULL AV,8
023XX S TRUMBULL AVE,20
023XX S UNION AV,5
023XX S WABASH AV,10
023XX S WABASH AVE,13
023XX S WASHTENAW AV,8
023XX S WASHTENAW AVE,8
023XX S WENTWORTH AV,28
023XX S WENTWORTH AVE,15
023XX S WESTERN AV,16
023XX S WESTERN AVE,11
023XX S WHIPPLE ST,23
023XX S WINCHESTER AV,1
023XX S WINCHESTER AVE,25
023XX S WOLCOTT AVE,1
023XX S WOOD ST,4
023XX W 100TH ST,1
023XX W 103 ST,2
023XX W 103RD ST,21
023XX W 105 ST,1
023XX W 105TH ST,1
023XX W 107 PL,1
023XX W 107TH ST,1
023XX W 108 PL,3
023XX W 108TH PL,1
023XX W 110 PL,6
023XX W 110TH PL,11
023XX W 111 PL,2
023XX W 111 ST,32
023XX W 111TH PL,1
023XX W 111TH ST,9
023XX W 112 ST,2
023XX W 113 PL,4
023XX W 113TH PL,2
023XX W 114TH ST,2
023XX W 115 ST,1
023XX W 115TH ST,1
023XX W 116 PL,3
023XX W 119 ST,1
023XX W 119TH ST,3
023XX W 13 ST,5
023XX W 13TH ST,1
023XX W 18 PL,16
023XX W 18 ST,9
023XX W 18TH PL,8
023XX W 18TH ST,3
023XX W 19 ST,11
023XX W 19TH ST,8
023XX W 19th St,1
023XX W 21 PL,23
023XX W 21 ST,13
023XX W 21ST PL,5
023XX W 21ST ST,17
023XX W 22 PL,5
023XX W 22 ST,1
023XX W 22ND PL,4
